document,chunk_count,belongs_to,data_source,source_path
Allportaldetail.pdf,22,data/,DataFolder,vectorDB/../data/Allportaldetail.pdf
CMISFAQ.pdf,5,data/,DataFolder,vectorDB/../data/CMISFAQ.pdf
ComputerCentre.pdf,15,data/,DataFolder,vectorDB/../data/ComputerCentre.pdf
FMISC.pdf,13,data/,DataFolder,vectorDB/../data/FMISC.pdf
IGRSFAQ.pdf,19,data/,DataFolder,vectorDB/../data/IGRSFAQ.pdf
ISO.pdf,6,data/,DataFolder,vectorDB/../data/ISO.pdf
UPSWIC.pdf,14,data/,DataFolder,vectorDB/../data/UPSWIC.pdf
WaterSectorPortals.pdf,4,data/,DataFolder,vectorDB/../data/WaterSectorPortals.pdf
BILLS & CONTRACTOR’S LEDGER PPT.pdf,30,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/BILLS & CONTRACTOR’S LEDGER PPT.pdf
Budget_PPT (2).pdf,38,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Budget_PPT (2).pdf
Cashbook Profarma.pdf,37,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Cashbook Profarma.pdf
CashBook Writeup.pdf,5,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/CashBook Writeup.pdf
COMPILATION OF ACCOUNT PPT.pdf,38,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/COMPILATION OF ACCOUNT PPT.pdf
Contractor Ledger Writeup.pdf,6,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Contractor Ledger Writeup.pdf
Contractor's Ledger Writeup.pdf,5,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Contractor's Ledger Writeup.pdf
Contractors Bills Writeup.pdf,17,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Contractors Bills Writeup.pdf
GST_Cenage_Royalty_labour Cess.pdf,24,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/GST_Cenage_Royalty_labour Cess.pdf
hand book pdf.pdf,18,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/hand book pdf.pdf
irrigation gst Go.pdf,4,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/irrigation gst Go.pdf
Latest centage  GO.pdf,12,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Latest centage  GO.pdf
Maintenance of  Stock and  T & P Writeup.pdf,15,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Maintenance of  Stock and  T & P Writeup.pdf
Maintenance of  Stock and  T & P.pdf,15,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Maintenance of  Stock and  T & P.pdf
"Measurement Book, Its recording & Maintenance Writeup.pdf",16,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,"vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Measurement Book, Its recording & Maintenance Writeup.pdf"
Necessity of Account Writeup.pdf,20,ISO_Ai_helpdesk_Document/Accounts,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/10. Accounts/Necessity of Account Writeup.pdf
